PEMBIMBING,JUDUL TUGAS AKHIR/PENELITIAN
"MUHAMMAD NASRULLAH, S.KOM., M.KOM.",Analisis Unified Theory Of Acceptance And Use Of Technology (UTAUT) Terhadap Penerimaan Adopsi Teknologi E-Learning Pada Fitur Video Conference Di Kalangan Mahasiswa Kampus Baru (Studi Kasus: ITTelkom Surabaya)
"MUHAMMAD NASRULLAH, S.KOM., M.KOM.",The Effect of Covid-19 Pandemic on Increasing Rice Tiwul Business Income Using System Dynamic Approach
"MUHAMMAD NASRULLAH, S.KOM., M.KOM.",IT Support Website Security Evaluation Using Vulnerability Assessment Tools
"MUHAMMAD NASRULLAH, S.KOM., M.KOM.",Development of I-Graciass Adoption and Implementation Model at Telkom Education Foundation Lemdikti Knowledge Management Systems Based
"MUHAMMAD NASRULLAH, S.KOM., M.KOM.",Analisis Pengelolaan dan Pengembangan Sumber Daya Manusia Perusahaan Furniture (Studi Kasus: CV. DNA Bali)
"MUHAMMAD NASRULLAH, S.KOM., M.KOM.",PELATIHAN DAN PENDAMPINGAN PEMASARAN ONLINE PRODUK NASI TIWUL DI MASA PANDEMI COVID-19
"MUHAMMAD NASRULLAH, S.KOM., M.KOM.",Requirement Engineering terhadap Virtual Team pada Proyek Software Engineering
"MUHAMMAD NASRULLAH, S.KOM., M.KOM.",PELATIHAN PENINGKATAN KEMAMPUAN MENGGUNAKAN MICROSOFT DYNAMICS 365 BUSINESS CENTRAL
"MUHAMMAD NASRULLAH, S.KOM., M.KOM.",System Dynamic Framework: Increasing Productivity Of Sugarcane To Support Sustainable Cultivation
"M. NIZAR PALEFI MA'ADY, S.KOM., M.KOM., M.IM.","PEMBUATAN SISTEM MONITORING SUHU, PH, TDS, DO, AMONIA DAN NITRIT AIR KOLAM BAGI UMKM FULLOBSTER SURABAYA BERBASIS MACHINE LEARNING"
"M. NIZAR PALEFI MA'ADY, S.KOM., M.KOM., M.IM.",Analysis of Trust Mechanism in Social Commerce: A Systematic Literature Review
"M. NIZAR PALEFI MA'ADY, S.KOM., M.KOM., M.IM.",The Important of Supply Chain Resilience During Covid-19 Pandemic For Enterprise Risk Management: A Systematic Literature Review
"M. NIZAR PALEFI MA'ADY, S.KOM., M.KOM., M.IM.",Fuzzy Information Enrichment for Self-healing Recommendation Systems of COVID-19 Patient
"M. NIZAR PALEFI MA'ADY, S.KOM., M.KOM., M.IM.",EndorseGram: Interactive Visualization of Influencer Endorsement Marketplace
"M. NIZAR PALEFI MA'ADY, S.KOM., M.KOM., M.IM.",Geovisualization Way for Exploiting Customer’s Emotions on Twitter
"M. NIZAR PALEFI MA'ADY, S.KOM., M.KOM., M.IM.",Analisis Keruangan Tingkat Kesiapsiagaan Masyarakat Terhadap Bencana Banjir Berbasis GIS Di Kabupaten Bojonegoro
"M. NIZAR PALEFI MA'ADY, S.KOM., M.KOM., M.IM.",Exploring Open Government Partnership as a Strategy for Promoting Transparency in Private University: An Initial Study
"M. NIZAR PALEFI MA'ADY, S.KOM., M.KOM., M.IM.",Pemetaan Tingkat Kesiapsiagaan Masyarakat Terhadap Berbagai Fase Bencana Banjir Berbasis GIS Untuk Meningkatkan Mitigasi Bencana Di Kabupaten Bojonegoro
"M. NIZAR PALEFI MA'ADY, S.KOM., M.KOM., M.IM.",Ensemble Measurement Model of E-Learning Implementation Readiness for Higher Education Institution
"NOERMA PUDJI ISTYANTO, S.KOM., M.KOM.",Development of I-Graciass Adoption and Implementation Model at Telkom Education Foundation Lemdikti Knowledge Management Systems Based
"NOERMA PUDJI ISTYANTO, S.KOM., M.KOM.",Risk Priority Analysis for Change Management on E-Government using RIPC4 and AHP
"NOERMA PUDJI ISTYANTO, S.KOM., M.KOM.",Adoption of Knowledge Management System: A Study on How IGracias Should be Adopted for Telkom Campus
"NOERMA PUDJI ISTYANTO, S.KOM., M.KOM.",Sosialisasi Pencegahan Penanganan Wabah COVID-19 Terhadap Komunitas Tunarungu Di Kota Surabaya
"NOERMA PUDJI ISTYANTO, S.KOM., M.KOM.",Preliminary research on Lecturer Skill Development for Digital Transformation in Indonesian Academic Institution
"NOERMA PUDJI ISTYANTO, S.KOM., M.KOM.",Disruptif Teknologi E-Government terhadap Pelayanan Publik Tradisional Masyarakat Surabaya di Era Industri 4.0
"NOERMA PUDJI ISTYANTO, S.KOM., M.KOM.","Evaluation of Public Service Strategy Chosen by Citizens of Surabaya: Traditional Vs E-Government (Case Study: E-Lampid, E-Health & Ssw)"
"NOERMA PUDJI ISTYANTO, S.KOM., M.KOM.","Evaluasi Strategi Pelayanan Publik Yang Lebih Dipilih Masyarakat Surabaya: Tradisional Vs E-Government (Studi Kasus: Elampid, E-Health & Ssw)"
"NOERMA PUDJI ISTYANTO, S.KOM., M.KOM.",Assement Implementation of Inpress No.3 Th 2003 for Development of e-Government in The Sampang District
"HAWWIN MARDHIANA, S.KOM., M.KOM.",Implementation of Quality Function Deployment (QFD) for Decision Making in Improving Integrated Academic Information System
"HAWWIN MARDHIANA, S.KOM., M.KOM.",3D Virtual prototyping dalam Perbaikan Desain Fasilitas Tempat Kerja: Studi Kasus CV. XYZ
"HAWWIN MARDHIANA, S.KOM., M.KOM.",USABILITY TESTING OF THE ONLINE PLATFORM FOR SELLING FOODSTUFFS IN INDONESIA
"HAWWIN MARDHIANA, S.KOM., M.KOM.",System Dynamic Framework: Increasing Productivity Of Sugarcane To Support Sustainable Cultivation
"HAWWIN MARDHIANA, S.KOM., M.KOM.",Implementation of Importance-Performance Analysis on Integrated Information System Institut Teknologi Telkom Purwokerto
"HAWWIN MARDHIANA, S.KOM., M.KOM.",Preliminary research on Lecturer Skill Development for Digital Transformation in Indonesian Academic Institution
"HAWWIN MARDHIANA, S.KOM., M.KOM.",Pengaruh Budaya Organisasi Terhadap Kualitas Informasi Berdampak pada Individu Organisasi
"HAWWIN MARDHIANA, S.KOM., M.KOM.",Kerangka Konseptual Kepuasan Pelanggan terhadap Jasa Transportasi Online Go Ride menggunakan Service Quality
"HAWWIN MARDHIANA, S.KOM., M.KOM.",Pendekatan Sistem Dinamik Untuk Meningkatkan Efisiensi Dan Produktivitas Tebu Dalam Rangka Mendukung Keberlanjutan Budidaya Tebu (Studi Kasus: Jawa Timur)
"HAWWIN MARDHIANA, S.KOM., M.KOM.",ISU IMPLEMENTASI WIDE AREA NETWORK PADA PERUSAHAAN BUMN MANUFAKTUR ENERGI
"AGUS SULISTYA, S.T., M.SC., PH.D.",Sieve: Helping developers sift wheat from chaff via cross-platform analysis
"AGUS SULISTYA, S.T., M.SC., PH.D.",Making sense of crowd-generated content in domain-specific settings
"AGUS SULISTYA, S.T., M.SC., PH.D.",Recommending who to follow in the software engineering twitter space
"AGUS SULISTYA, S.T., M.SC., PH.D.",Inferring spread of readers’ emotion affected by online news
"AGUS SULISTYA, S.T., M.SC., PH.D.",Harnessing Twitter to support serendipitous learning of developers
"AGUS SULISTYA, S.T., M.SC., PH.D.",Cataloging github repositories
"AGUS SULISTYA, S.T., M.SC., PH.D.","Spiteful, one-off, and kind: predicting customer feedback behavior on Twitter"
"AGUS SULISTYA, S.T., M.SC., PH.D.",Harnessing Twitter to support serendipitous learning of developers.(2017)
"AGUS SULISTYA, S.T., M.SC., PH.D.",Cataloging GitHub repositories.(2017)
"YUPIT SUDIANTO, S.KOM., M.KOM.",The Important of Supply Chain Resilience During Covid-19 Pandemic For Enterprise Risk Management: A Systematic Literature Review
"YUPIT SUDIANTO, S.KOM., M.KOM.",IT Support Website Security Evaluation Using Vulnerability Assessment Tools
"YUPIT SUDIANTO, S.KOM., M.KOM.",The Effect of Covid-19 Pandemic on Increasing Rice Tiwul Business Income Using System Dynamic Approach
"YUPIT SUDIANTO, S.KOM., M.KOM.",Development of I-Graciass Adoption and Implementation Model at Telkom Education Foundation Lemdikti Knowledge Management Systems Based
"YUPIT SUDIANTO, S.KOM., M.KOM.",MENINGKATKAN POTENSI PERIKANAN MARITIM INDONESIA DENGAN APLIKASI FISHERY
"YUPIT SUDIANTO, S.KOM., M.KOM.",Fuzzy Information Enrichment for Self-healing Recommendation Systems of COVID-19 Patient
"YUPIT SUDIANTO, S.KOM., M.KOM.",Analisis Pengelolaan dan Pengembangan Sumber Daya Manusia Perusahaan Furniture (Studi Kasus: CV. DNA Bali)
"YUPIT SUDIANTO, S.KOM., M.KOM.",Risk Priority Analysis for Change Management on E-Government using RIPC4 and AHP
"YUPIT SUDIANTO, S.KOM., M.KOM.","PEMBUATAN SISTEM MONITORING SUHU, PH, TDS, DO, AMONIA DAN NITRIT AIR KOLAM BAGI UMKM FULLOBSTER SURABAYA BERBASIS MACHINE LEARNING"
"YUPIT SUDIANTO, S.KOM., M.KOM.",PENGGUNAAN WEBSITE CSA SEBAGAI WADAH INFORMASI BAGI MASYARAKAT KURANG MAMPU UNTUK MENINJAU DANA BANTUAN SOSIAL DI INDONESIA SECARA EFEKTIF
"ARIS KUSUMAWATI, S.KOM., M.KOM.",MENINGKATKAN POTENSI PERIKANAN MARITIM INDONESIA DENGAN APLIKASI FISHERY
"ARIS KUSUMAWATI, S.KOM., M.KOM.",PENGGUNAAN WEBSITE CSA SEBAGAI WADAH INFORMASI BAGI MASYARAKAT KURANG MAMPU UNTUK MENINJAU DANA BANTUAN SOSIAL DI INDONESIA SECARA EFEKTIF
"ARIS KUSUMAWATI, S.KOM., M.KOM.",Intuition in Information Technology Investment Decision: A Quantitative Method
"ARIS KUSUMAWATI, S.KOM., M.KOM.",Optimasi Algoritma Genetika Dalam Menentukan Rute Optimal Topologi Cincin Pada Wide Area Network
"ARIS KUSUMAWATI, S.KOM., M.KOM.",Algoritma Genetika dalam Menentukan Rute Optimal Topologi Cincin pada WAN
"ARIS KUSUMAWATI, S.KOM., M.KOM.","Analyzing The Influence Of Information System’s Quality, User Satisfaction And Net Benefit Of E-Learning Users"
"ARLIYANTI NURDIN S.T., M.T.",PENGGUNAAN YOLOV5 PADA DETEKSI OBJEK UNTUK KETERSEDIAAN SLOT LAHAN PARKIR
"KHODIJAH AMIROH, S.ST., M.T.","SISTEM MONITORING DAN KONTROL SUHU, KELEMBABAN UDARA, SERTA INTENSITAS CAHAYA PADA GREENHOUSE DENGAN METODE FUZZY LOGIC"
"FARAH ZAKIYAH RAHMANTI, S.ST., M.T.",REAL TIME GUIDANCE BAGI PENYANDANG TUNA NETRA MENGGUNAKAN YOLO (YOU ONLY LOOK ONCE) DAN PEMANDU SUARA BERBASIS ANDROID
"BERNADUS ANGGO SENO AJI, S.KOM., M.KOM.",REKOMENDASI PEMILIHAN PROGRAM STUDI MENGGUNAKAN SUPPORT VECTOR REGRESSION (STUDI KASUS: MAHASISWA INSTITUT TEKNOLOGI TELKOM SURABAYA)
"FARAH ZAKIYAH RAHMANTI, S.ST., M.T.",SISTEM MONITORING LOKASI RAWAN KEJAHATAN CURANMOR BERBASIS WEB MENGGUNAKAN LAYANAN GOOGLE MAPS API
"BERNADUS ANGGO SENO AJI, S.KOM., M.KOM.",PAKAN IKAN OTOMATIS MENGGUNAKAN METODE ADAPTIVE NEURO FUZZY INFERENCE SYSTEM (ANFIS) BERBASIS IOT
"KHODIJAH AMIROH, S.ST., M.T.",DESAIN SISTEM PEMUPUKAN OTOMATIS TANAMAN BUAH MELON PADA GREEN HOUSE METODE FUZZY LOGIC
"ARLIYANTI NURDIN S.T., M.T.",SISTEM PERINGATAN DINI BANJIR MENGGUNAKAN PREDIKSI TINGGI AIR SUNGAI DENGAN MACHINE LEARNING
"ARLIYANTI NURDIN S.T., M.T.",KLASIFIKASI TINGKAT KECELAKAAN LALU LINTAS DI KOTA SURABAYA MENGGUNAKAN METODE PEMBELAJARAN MESIN
"KHODIJAH AMIROH, S.ST., M.T.",SISTEM MONITORING MANAJEMEN ASET PADA INVENTARIS ITTELKOM DENGAN METODE RFID (STUDI KASUS LABORATORIUM KOMPUTER FTIB ITTELKOM SURABAYA)
"FARAH ZAKIYAH RAHMANTI, S.ST., M.T.",RANCANG BANGUN SISTEM INFORMASI DESA CEMENGBAKALAN SIDOARJO BERBASIS ANALISIS DATA
"BERNADUS ANGGO SENO AJI, S.KOM., M.KOM.",PENERAPAN ATURAN ASOSIASI DENGAN METODE APRIORI UNTUK PENJUALAN TOKO OLEH – OLEH (STUDI KASUS : TOKO BERKAH LESTARI)
"ARLIYANTI NURDIN S.T., M.T.",PREDIKSI PELANGGAN CHURN PADA PERUSAHAAN TELEKOMUNIKASI MENGGUNAKAN ALGORITMA BOOSTING
"ARLIYANTI NURDIN S.T., M.T.",KLASIFIKASI DAN SEGMENTASI BERBASIS PEMBELAJARAN MESIN UNTUK ANALITIK PELANGGAN PADA PENERIMAAN MAHASISWA BARU
"FARAH ZAKIYAH RAHMANTI, S.ST., M.T.",PENENTUAN DURASI PENYINARAN PADA STERILISASI UV BERDASARKAN TINGKAT KEMATANGAN BUAH TOMAT MENGGUNAKAN SUPPORT VECTOR MACHINE
"BERNADUS ANGGO SENO AJI, S.KOM., M.KOM.",KLASIFIKASI INFEKSI GIGI MENGGUNAKAN METODE SUPPORT VECTOR MACHINE
"BERNADUS ANGGO SENO AJI, S.KOM., M.KOM.",SISTEM INFORMASI GEOGRAFIS DAERAH RAWAN PENCURIAN DI KABUPATEN TRENGGALEK DENGAN METODE FUZZY SAW
"BERNADUS ANGGO SENO AJI, S.KOM., M.KOM.",SISTEM INFORMASI GEOGRAFIS BERBASIS WEBSITE UNTUK KERAWANAN LALU LINTAS DI SURABAYA MENGGUNAKAN METODE ANALYTIC HIERARCHY PROCESS
"FARAH ZAKIYAH RAHMANTI, S.ST., M.T.",REKOMENDASI PENANGANAN GANGGUAN DAN MONITORING PEMADAMAN LISTRIK BERBASIS ANDROID MENGGUNAKAN BEST FIRST SEARCH PADA PT. PLN AREA KENDARI
"BERNADUS ANGGO SENO AJI, S.KOM., M.KOM.",IMPLEMENTASI IMAGE PROCESSING DENGAN METODE K-NEAREST NEIGHBOR UNTUK MENENTUKAN KUALITAS SARANG BURUNG WALET
"FARAH ZAKIYAH RAHMANTI, S.ST., M.T.",SISTEM INFORMASI PENCARIAN LOKASI WISATA DI KOTA PROBOLINGGO MENGGUNAKAN SEQUENTIAL SEARCH DAN LOCATION BASED SERVICE BERBASIS WEB
"OKTAVIA AYU PERMATA, S.T., M.T.",KLASTERISASI PENJUALAN PRODUK BAYI ORGANIK ABATA BENDUL MENGGUNAKAN ALGORITMA K-MEANS
"KHODIJAH AMIROH, S.ST., M.T.",SISTEM KONTROL KUALITAS AIR PADA BUDIDAYA UDANG VANAME BERBASIS IOT MENGGUNAKAN METODE K-NEAREST NEIGHBOR (KNN)
"BERNADUS ANGGO SENO AJI, S.KOM., M.KOM.",SISTEM PENGHITUNGAN JUMLAH ORANG OTOMATIS PADA PINTU MASUK GEREJA BERBASIS IOT DENGAN YOLO V4
"KHODIJAH AMIROH, S.ST., M.T.",SISTEM KONTROL KUALITAS UDARA BERBASIS IOT PADA KANDANG AYAM MENGGUNAKAN METODE K- NEAREST NEIGHBOR (KNN)
"BERNADUS ANGGO SENO AJI, S.KOM., M.KOM.",ANALISIS KLASIFIKASI PEMILIHAN DOSEN PEMBIMBING UNTUK PENYUSUNAN TUGAS AKHIR SESUAI DENGAN KEAHLIAN DOSEN MENGGUNAKAN METODE NAIVE BAYES STUDI KASUS IT TELKOM SURABAYA
"BERNADUS ANGGO SENO AJI, S.KOM., M.KOM.",PERANCANGAN SISTEM PENENTUAN INDEX MASSA TUBUH MENGGUNAKAN PENGOLAHAN CITRA DIGITAL
"KHODIJAH AMIROH, S.ST., M.T.",RANCANG BANGUN SISTEM PALANG OTOMATIS DI INSTITUT TEKNOLOGI TELKOM SURABAYA BERBASIS IOT DAN IMAGE PROCESSING
"NOERMA PUDJI ISTYANTO, S.KOM., M.KOM.",SISTEM MONITORING DAN KENDALI KUMBUNG JAMUR DENGAN METODE FUZZY LOGIC
"DR. HELMY WIDYANTARA, S.KOM., M.ENG.",RANCANG BANGUN PAKAN OTOMATIS BUDIDAYA LELE INTENSIF BERBASIS INTERNET OF THINGS
"OKTAVIA AYU PERMATA, S.T., M.T.",APLIKASI SISTEM PAKAR UNTUK MENDIAGNOSA PENYAKIT THALASEMIA DENGAN METODE CERTAINTY FACTOR BERBASIS WEB
"DR. HELMY WIDYANTARA, S.KOM., M.ENG.",SISTEM MONITORING DAN PENGENDALIAN KANDANG AYAM BERBASIS INTERNET OF THINGS
"FARAH ZAKIYAH RAHMANTI, S.ST., M.T.",SISTEM REKOMENDASI PEMILIHAN TIPE RUMAH MENGGUNAKAN METODE NAIVE BAYES (STUDI KASUS : PERUMAHAN GRIYA BUMI SEDAYU)
"BERNADUS ANGGO SENO AJI, S.KOM., M.KOM.",KLASIFIKASI PEMAHAMAN SANTRI DALAM PEMBELAJARAN KITAB KUNING MENGGUNAKAN SVM
"FIDI WINCOKO PUTRO, S.ST., M.KOM.",PERANCANGAN SISTEM INFORMASI GEOGRAFIS PERSEBARAN PENDUDUKAN DI WILAYAH KELURAHAN KETINTANG SURABAYA
"FARAH ZAKIYAH RAHMANTI, S.ST., M.T.",SISTEM REKOMENDASI STOK PRODUK KECANTIKAN MENGGUNAKAN FUZZY MAMDANI BERBASIS WEB (STUDI KASUS: PINEAPPLE BEAUTY LAB STORE)
"MOH. HAMIM ZAJULI AL FAROBY, S.SI., M.MAT.",SISTEM PREDIKSI PERTUMBUHAN PENDUDUK DI KOTA SURABAYA MENGGUNAKAN METODE TIME SERIES BERBASIS WEB
"MOH. HAMIM ZAJULI AL FAROBY, S.SI., M.MAT.",PENERAPAN NAÏVE-BAYES PADA DESAIN SISTEM PEMILIHAN PENERIMA BANTUAN MASYARAKAT BERPENGHASILAN RENDAH DI KELURAHAN KETINTANG SURABAYA
"KHODIJAH AMIROH, S.ST., M.T.",MONITORING KETERSEDIAAN SLOT PARKIR DI ITTELKOM SURABAYA BERBASIS IMAGES PROCESSING DAN IOT
"KHODIJAH AMIROH, S.ST., M.T.",SISTEM MONITORING DAN NOTIFIKASI OTOMATIS PADA PERPUSTAKAAN STUDI KASUS ITTELKOM SURABAYA
"BERNADUS ANGGO SENO AJI, S.KOM., M.KOM.",SISTEM REKOMENDASI SMP BERDASARKAN NILAI RAPORT SD MENGUNAKAN METODE RANDOM FOREST STUDI KASUS: SD/MI KECAMATAN ASEMROWO SURABAYA
"PHILIP TOBIANTO DAELY, S.T., M.ENG.",Multi-Vehicle Routing for Pickup Service in Dynamic Scenario
"PHILIP TOBIANTO DAELY, S.T., M.ENG.",An Improvement Using Global Positioning System (GPS) and Cloud Firestore for Integration of Information System in Surabaya Public Transportation
"PHILIP TOBIANTO DAELY, S.T., M.ENG.",Dynamic Delivery Truck Routing System with Task Clustering and Particle Swarm Optimization
"PHILIP TOBIANTO DAELY, S.T., M.ENG.",Edge Computing Based Pickup and Delivery Optimization for Warehouse
"PHILIP TOBIANTO DAELY, S.T., M.ENG.",The Design of The Emerging 5G Using Hybrid GPON and XGS-PON Technology
"PHILIP TOBIANTO DAELY, S.T., M.ENG.",Battery Insulation Performance Analysis in Electric Vehicles for the Improvement of Battery Lifetime
"PHILIP TOBIANTO DAELY, S.T., M.ENG.",Dynamic VRP Optimization Using Discrete PSO in Edge Computing Environment
"PHILIP TOBIANTO DAELY, S.T., M.ENG.",Distributed Computing Architecture for Logistic Job Allocation in Smart Factory
"PHILIP TOBIANTO DAELY, S.T., M.ENG.",IoT-based Adaptive Network Mechanism for Reliable Smart Farm System
"PHILIP TOBIANTO DAELY, S.T., M.ENG.",Hidden Information Detection in Speech Signal Using MFCC and LDA
"DR. HELMY WIDYANTARA, S.KOM., M.ENG.",Design of indoor smart air sterilization system with air quality monitoring based on iot
"DR. HELMY WIDYANTARA, S.KOM., M.ENG.",Pengenalan Pemrograman Perangkat Bergerak bagi Siswa SMA/SMK dalam Kegiatan Seminar Ilmiah Populer Online
"DR. HELMY WIDYANTARA, S.KOM., M.ENG.",Navigation and Formation of Swarm Robotics with Local Positioning System: Sistem Pemosisian didalam ruangan
"DR. HELMY WIDYANTARA, S.KOM., M.ENG.",Perangkat Budidaya Microgreen berbasis Internet of Things
"DR. HELMY WIDYANTARA, S.KOM., M.ENG.",Upaya Peningkatan Kualitas Pendidikan melalui Penerapan ICT di Sekolah Menengah Atas
"DR. HELMY WIDYANTARA, S.KOM., M.ENG.",Robot Logistik berbasis IoT untuk Memonitoring Pasien dan Pengiriman Logistik Selama Pandemi COVID-19
"DR. HELMY WIDYANTARA, S.KOM., M.ENG.",Pengembangan Sistem Kendali Kuantitas Air pada Tanaman Hidroponik Berbasis Internet of Things (IoT)
"DR. HELMY WIDYANTARA, S.KOM., M.ENG.","Video-based Tancho Koi Fish Tracking System Using CSK, DFT, and LOT"
"DR. HELMY WIDYANTARA, S.KOM., M.ENG.",IoT-Based Logistic Robot for Real-Time Monitoring and Control Patients during COVID-19 Pandemic
"DR. HELMY WIDYANTARA, S.KOM., M.ENG.",Pengembangan Sistem Kendali Kuantitas Air Pada Tanaman Hidroponik Berbasis Internet of Thing (IoT)
"FARAH ZAKIYAH RAHMANTI, S.ST., M.T.",Real-Time Accident Detection Using KNN Algorithm to Support IoT-based Smart City
"FARAH ZAKIYAH RAHMANTI, S.ST., M.T.",Dasar Pemrograman Dalam Bahasa C
"FARAH ZAKIYAH RAHMANTI, S.ST., M.T.",Undergraduate Thesis System Information Service Evaluation Using UTAUT–5 Factors Based Chatbot
"FARAH ZAKIYAH RAHMANTI, S.ST., M.T.",A Study of Conveyor System with UV Light for Vegetable and Fruit Sterilization for Farmer
"FARAH ZAKIYAH RAHMANTI, S.ST., M.T.",Efisiensi Energi Untuk Memperpanjang Lifetime Jaringan Sensor Nirkabel Menggunakan Algoritma LEACH
"FARAH ZAKIYAH RAHMANTI, S.ST., M.T.",PELATIHAN PEMANFAATAN TOOL KOLABORASI DAN PENGOLAHAN DATA ONLINE BAGI SELURUH GURU BK SMA/MA KABUPATEN SITUBONDO
"FARAH ZAKIYAH RAHMANTI, S.ST., M.T.",Pelatihan Pemanfaatan Tool Kolaborasi dan Pengolahan Data Online bagi Seluruh Guru BK SMA/MA Kabupaten Situbondo
"FARAH ZAKIYAH RAHMANTI, S.ST., M.T.",Integrated Information System Based on Google Maps APIs: Design of Surabaya Public Transportation System
"FARAH ZAKIYAH RAHMANTI, S.ST., M.T.",Analisis Kualitas Udara untuk Monitoring Kesehatan Lingkungan Rumah Sakit
"KHODIJAH AMIROH, S.ST., M.T.",Intelligent System for Fall Prediction Based on Accelerometer and Gyroscope of Fatal Injury in Geriatric
"KHODIJAH AMIROH, S.ST., M.T.",Pengembangan Sistem Penukaran Tiket Suroboyo Bus Melalui Digitalisasi Pencatatan Penukaran Sampah Berbasis Android
"KHODIJAH AMIROH, S.ST., M.T.",Pelatihan Pemanfaatan Tool Kolaborasi dan Pengolahan Data Online bagi Seluruh Guru BK SMA/MA Kabupaten Situbondo
"KHODIJAH AMIROH, S.ST., M.T.",Efisiensi Energi Untuk Memperpanjang Lifetime Jaringan Sensor Nirkabel Menggunakan Algoritma LEACH
"KHODIJAH AMIROH, S.ST., M.T.",Analisis Kualitas Udara untuk Monitoring Kesehatan Lingkungan Rumah Sakit
"KHODIJAH AMIROH, S.ST., M.T.",Integrated Information System Based on Google Maps APIs: Design of Surabaya Public Transportation System
"KHODIJAH AMIROH, S.ST., M.T.",Implementasi Space Time Frequency Block Code pada MIMO-OFDM menggunakan WARP
"KHODIJAH AMIROH, S.ST., M.T.",Performansi Protokol Pegasis Dalam Penggunaan Efisiensi Energi Pada Jaringan Sensor Nirkabel
"KHODIJAH AMIROH, S.ST., M.T.",Design of Space Time Frequency Block Code MIMO OFDM at WARP
"ARLIYANTI NURDIN S.T., M.T.",PENERAPAN ALGORITMA APRIORI PADA PENJUALAN SUKU CADANG KENDARAAN RODA DUA (Studi Kasus: Toko Prima Motor Sidomulyo)
"ARLIYANTI NURDIN S.T., M.T.",Strengthening MSMEs crafting soft skills through the implementation of system thinking business model innovation
"ARLIYANTI NURDIN S.T., M.T.",A Study of Conveyor System with UV Light for Vegetable and Fruit Sterilization for Farmer
"ARLIYANTI NURDIN S.T., M.T.",Penerapan System Thinking Untuk Peningkatan Branding dan Optimalisasi Manajemen Usaha Pada UKM Handy Craft Az-Zahra
"ARLIYANTI NURDIN S.T., M.T.",Deteksi Anomali Total Electron Content Sebelum Gempa Bumi Palu Menggunakan Jaringan Syaraf Tiruan Levenberg-marquardt
"ARLIYANTI NURDIN S.T., M.T.","Perbandingan Kinerja Word Embedding Word2Vec, Glove, Dan Fasttext Pada Klasifikasi Teks"
"ARLIYANTI NURDIN S.T., M.T.",PELATIHAN KETERAMPILAN WEB DESIGN BAGI SISWA SMK NEGERI 1 SURABAYA
"ARLIYANTI NURDIN S.T., M.T.",Student Attendance System using QR Codes (Case Study: Institut Teknologi Telkom Surabaya)
"ARLIYANTI NURDIN S.T., M.T.",SKILL TRAINING WEB DESIGN FOR STUDENTS AT SMK NEGERI 1 SURABAYA
"ARLIYANTI NURDIN S.T., M.T.",5w1h information extraction with CNN-bidirectional LSTM
"BERNADUS ANGGO SENO AJI, S.KOM., M.KOM.",Dasar Pemrograman Dalam Bahasa C
"BERNADUS ANGGO SENO AJI, S.KOM., M.KOM.",Deteksi Anomali Total Electron Content Sebelum Gempa Bumi Palu Menggunakan Jaringan Syaraf Tiruan Levenberg-marquardt
"BERNADUS ANGGO SENO AJI, S.KOM., M.KOM.","Perbandingan Kinerja Word Embedding Word2Vec, Glove, Dan Fasttext Pada Klasifikasi Teks"
"BERNADUS ANGGO SENO AJI, S.KOM., M.KOM.",Pelatihan Pemanfaatan Tool Kolaborasi dan Pengolahan Data Online bagi Seluruh Guru BK SMA/MA Kabupaten Situbondo
"BERNADUS ANGGO SENO AJI, S.KOM., M.KOM.",Detection Precursor of Sumatra Earthquake Based on Ionospheric TEC (Total Electron Content) Anomalies using N-ANN (N-Model Artificial Neural Network)
"BERNADUS ANGGO SENO AJI, S.KOM., M.KOM.",Prediksi curah hujan menggunakan evolving fuzzy
"OKTAVIA AYU PERMATA, S.T., M.T.",An Improvement Using Global Positioning System (GPS) and Cloud Firestore for Integration of Information System in Surabaya Public Transportation
"OKTAVIA AYU PERMATA, S.T., M.T.",Pengenalan Pemrograman Perangkat Bergerak bagi Siswa SMA/SMK dalam Kegiatan Seminar Ilmiah Populer Online
"OKTAVIA AYU PERMATA, S.T., M.T.",Pengembangan Sistem Penukaran Tiket Suroboyo Bus Melalui Digitalisasi Pencatatan Penukaran Sampah Berbasis Android
"OKTAVIA AYU PERMATA, S.T., M.T.",CARITA: PENDIDIKAN KARAKTER ANAK USIA DINI MELALUI SERIAL WEBTOON INTERAKTIF
"OKTAVIA AYU PERMATA, S.T., M.T.",A CONCEPTUAL DESIGN OF WASTE MANAGEMENT: SMART BIN DEPLOYMENT IN SURABAYA SMART CITY
"OKTAVIA AYU PERMATA, S.T., M.T.",Efisiensi Energi Untuk Memperpanjang Lifetime Jaringan Sensor Nirkabel Menggunakan Algoritma LEACH
"OKTAVIA AYU PERMATA, S.T., M.T.",Pelatihan Pemanfaatan Tool Kolaborasi dan Pengolahan Data Online bagi Seluruh Guru BK SMA/MA Kabupaten Situbondo
"OKTAVIA AYU PERMATA, S.T., M.T.",Integrated Information System Based on Google Maps APIs: Design of Surabaya Public Transportation System
none,ANALISIS KLASIFIKASI PEMILIHAN DOSEN PEMBIMBING UNTUK PENYUSUNAN TUGAS AKHIR SESUAI DENGAN KEAHLIAN DOSEN MENGGUNAKAN METODE NAIVE BAYES STUDI KASUS IT TELKOM SURABAYA
none,Stability of networked nonlinear systems: Generalization of small-gain theorem and distributed testing
none,Penggunaan Metode Waterfall Dalam Rancang Bangun Sistem Informasi Penjualan
